,회사명,거래소코드,회계년도,한계기업여부,이자보상배율(이자비용)
1091,(주)솔고바이오메디칼,043100,2012.0,1,-4.55
1092,(주)솔고바이오메디칼,043100,2013.0,1,-3.34
1093,(주)솔고바이오메디칼,043100,2014.0,1,-0.59
1094,(주)솔고바이오메디칼,043100,2015.0,1,-6.2
1095,(주)솔고바이오메디칼,043100,2016.0,1,-14.58
1096,(주)솔고바이오메디칼,043100,2017.0,1,-11.31
1097,(주)솔고바이오메디칼,043100,2018.0,1,-22.21
1098,(주)파루,043200,2011.0,1,-8.8
1099,(주)파루,043200,2012.0,1,-2.0
1100,(주)파루,043200,2013.0,0,0.56
1101,(주)파루,043200,2018.0,1,-29.21
1102,(주)티에스넥스젠,043220,2011.0,1,-3.12
1103,(주)티에스넥스젠,043220,2012.0,1,-17.98
1104,(주)티에스넥스젠,043220,2013.0,1,-0.79
1105,(주)티에스넥스젠,043220,2014.0,1,0.05
1106,(주)티에스넥스젠,043220,2015.0,1,-10.54
1107,(주)티에스넥스젠,043220,2016.0,1,-7.16
1108,(주)티에스넥스젠,043220,2017.0,1,-4.04
1109,(주)티에스넥스젠,043220,2018.0,0,-8.22
1110,성호전자(주),043260,2013.0,1,-1.33
1111,성호전자(주),043260,2014.0,1,-0.44
1112,성호전자(주),043260,2015.0,0,0.11
1113,성호전자(주),043260,2018.0,1,0.09
1114,(주)에쎈테크,043340,2012.0,0,0.34
1115,(주)디지아이,043360,2012.0,1,0.23
1116,(주)디지아이,043360,2013.0,1,-26.1
1117,(주)디지아이,043360,2014.0,1,0.49
1118,(주)디지아이,043360,2015.0,1,-29.21
1119,(주)디지아이,043360,2016.0,0,-29.21
1120,(주)에임하이글로벌,043580,2015.0,1,-28.85
1121,크로바하이텍(주),043590,2014.0,1,-7.22
1122,크로바하이텍(주),043590,2015.0,0,-4.96
1123,크로바하이텍(주),043590,2018.0,1,-9.54
1124,(주)국순당,043650,2016.0,1,-29.21
1125,(주)국순당,043650,2017.0,1,-12.28
1126,(주)국순당,043650,2018.0,1,-7.85
1127,(주)서울리거,043710,2014.0,1,-19.41
1128,(주)서울리거,043710,2015.0,1,-20.21
1129,(주)서울리거,043710,2016.0,1,-5.07
1130,(주)서울리거,043710,2017.0,1,-29.21
